location_id,sensor_id,parameter,value,unit,datetime_utc,datetime_local,latitude,longitude,ingested_at
1001,5001,pm25,101.93,µg/m³,2026-05-13T02:00:00+00:00,2026-05-13T07:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,131.57,µg/m³,2026-05-13T06:00:00+00:00,2026-05-13T11:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,99.86,µg/m³,2026-05-13T10:00:00+00:00,2026-05-13T15:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,72.27,µg/m³,2026-05-13T14:00:00+00:00,2026-05-13T19:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,64.59,µg/m³,2026-05-13T18:00:00+00:00,2026-05-13T23:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,63.95,µg/m³,2026-05-13T22:00:00+00:00,2026-05-14T03:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,81.42,µg/m³,2026-05-14T02:00:00+00:00,2026-05-14T07:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,174.01,µg/m³,2026-05-14T06:00:00+00:00,2026-05-14T11:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,80.94,µg/m³,2026-05-14T10:00:00+00:00,2026-05-14T15:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,97.88,µg/m³,2026-05-14T14:00:00+00:00,2026-05-14T19:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,46.65,µg/m³,2026-05-14T18:00:00+00:00,2026-05-14T23:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,45.27,µg/m³,2026-05-14T22:00:00+00:00,2026-05-15T03:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,104.88,µg/m³,2026-05-15T02:00:00+00:00,2026-05-15T07:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,146.67,µg/m³,2026-05-15T06:00:00+00:00,2026-05-15T11:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,112.58,µg/m³,2026-05-15T10:00:00+00:00,2026-05-15T15:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,110.4,µg/m³,2026-05-15T14:00:00+00:00,2026-05-15T19:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,26.91,µg/m³,2026-05-15T18:00:00+00:00,2026-05-15T23:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,6.03,µg/m³,2026-05-15T22:00:00+00:00,2026-05-16T03:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,133.67,µg/m³,2026-05-16T02:00:00+00:00,2026-05-16T07:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,160.99,µg/m³,2026-05-16T06:00:00+00:00,2026-05-16T11:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
1001,5001,pm25,14.07,µg/m³,2026-05-16T10:00:00+00:00,2026-05-16T15:30:00+00:00,28.6469,77.3152,2026-07-12T02:00:38.507318+00:00
